x,y,F1,F2
    0.9700840484E+00,    0.1440374193E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1507606513E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1576241375E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1646342630E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1717975495E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1791206609E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1866104102E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.1942737650E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2021178547E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2101499767E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2183776033E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2268083889E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2354501766E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2443110060E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2533991204E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2627229746E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2722912427E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2821128261E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.2921968619E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3025527315E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3131900689E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3241187703E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3353490026E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3468912136E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3587561410E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3709548228E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3834986078E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.3963991653E-04,    0.1000000000E+01,    0.1000000000E+01
    0.9700840484E+00,    0.4096684971E-04,    0.1000000000E+01,    0.1000000000E+01
