logyp,up
   0.316657E+01,   0.243853E+02
   0.317981E+01,   0.245331E+02
   0.319306E+01,   0.246857E+02
   0.320631E+01,   0.248431E+02
   0.321955E+01,   0.250051E+02
   0.323280E+01,   0.251710E+02
   0.324604E+01,   0.253392E+02
   0.325929E+01,   0.255076E+02
   0.327254E+01,   0.256731E+02
   0.328578E+01,   0.258331E+02
   0.329903E+01,   0.259875E+02
   0.331227E+01,   0.261389E+02
   0.332552E+01,   0.262904E+02
   0.333876E+01,   0.264423E+02
   0.335201E+01,   0.265936E+02
   0.336526E+01,   0.267423E+02
   0.337850E+01,   0.268834E+02
   0.339175E+01,   0.270043E+02
   0.340499E+01,   0.270837E+02
   0.341824E+01,   0.271148E+02
   0.343149E+01,   0.271196E+02
   0.344473E+01,   0.271194E+02
   0.345798E+01,   0.271194E+02
   0.347122E+01,   0.271194E+02
   0.348447E+01,   0.271194E+02
   0.349772E+01,   0.271194E+02
   0.351096E+01,   0.271194E+02
   0.352421E+01,   0.271194E+02
   0.353745E+01,   0.271194E+02
   0.355070E+01,   0.271194E+02
   0.356395E+01,   0.271194E+02
   0.357719E+01,   0.271193E+02
   0.359044E+01,   0.271193E+02
   0.360368E+01,   0.271193E+02
   0.361693E+01,   0.271193E+02
   0.363017E+01,   0.271193E+02
   0.364342E+01,   0.271193E+02
   0.365667E+01,   0.271193E+02
   0.366991E+01,   0.271193E+02
   0.368316E+01,   0.271193E+02
   0.369640E+01,   0.271193E+02
   0.370965E+01,   0.271193E+02
   0.372290E+01,   0.271193E+02
   0.373614E+01,   0.271193E+02
   0.374939E+01,   0.271193E+02
   0.376263E+01,   0.271193E+02
   0.377588E+01,   0.271193E+02
   0.378913E+01,   0.271192E+02
   0.380237E+01,   0.271192E+02
   0.381562E+01,   0.271192E+02
   0.382886E+01,   0.271192E+02
   0.384211E+01,   0.271192E+02
   0.385535E+01,   0.271192E+02
   0.386860E+01,   0.271192E+02
   0.388185E+01,   0.271192E+02
   0.389509E+01,   0.271192E+02
   0.390834E+01,   0.271192E+02
   0.392158E+01,   0.271192E+02
   0.393483E+01,   0.271191E+02
   0.394808E+01,   0.271191E+02
   0.396132E+01,   0.271191E+02
   0.397457E+01,   0.271191E+02
   0.398781E+01,   0.271191E+02
   0.400106E+01,   0.271191E+02
   0.401431E+01,   0.271191E+02
   0.402755E+01,   0.271190E+02
   0.404080E+01,   0.271190E+02
   0.405404E+01,   0.271190E+02
   0.406729E+01,   0.271190E+02
   0.408053E+01,   0.271190E+02
   0.409378E+01,   0.271190E+02
   0.410703E+01,   0.271190E+02
   0.412027E+01,   0.271189E+02
   0.413352E+01,   0.271189E+02
   0.414676E+01,   0.271189E+02
   0.416001E+01,   0.271189E+02
   0.417326E+01,   0.271189E+02
   0.418650E+01,   0.271188E+02
   0.419975E+01,   0.271188E+02
   0.421299E+01,   0.271188E+02
   0.422624E+01,   0.271188E+02
   0.423949E+01,   0.271188E+02
   0.425273E+01,   0.271187E+02
   0.426598E+01,   0.271187E+02
   0.427922E+01,   0.271187E+02
   0.429247E+01,   0.271187E+02
   0.430572E+01,   0.271186E+02
   0.431896E+01,   0.271186E+02
   0.433221E+01,   0.271186E+02
   0.434545E+01,   0.271186E+02
   0.435870E+01,   0.271185E+02
   0.437194E+01,   0.271185E+02
   0.438519E+01,   0.271185E+02
   0.439844E+01,   0.271184E+02
   0.441168E+01,   0.271184E+02
   0.442493E+01,   0.271184E+02
   0.443817E+01,   0.271184E+02
   0.445142E+01,   0.271183E+02
   0.446467E+01,   0.271183E+02
   0.447791E+01,   0.271183E+02
   0.449116E+01,   0.271182E+02
   0.450440E+01,   0.271182E+02
   0.451765E+01,   0.271181E+02
   0.453090E+01,   0.271181E+02
   0.454414E+01,   0.271181E+02
   0.455739E+01,   0.271180E+02
   0.457063E+01,   0.271180E+02
   0.458388E+01,   0.271179E+02
   0.459713E+01,   0.271179E+02
   0.461037E+01,   0.271178E+02
   0.462362E+01,   0.271178E+02
   0.463686E+01,   0.271178E+02
   0.465011E+01,   0.271177E+02
   0.466335E+01,   0.271177E+02
   0.467660E+01,   0.271176E+02
   0.468985E+01,   0.271176E+02
   0.470309E+01,   0.271175E+02
   0.471634E+01,   0.271175E+02
   0.472958E+01,   0.271174E+02
   0.474283E+01,   0.271173E+02
   0.475608E+01,   0.271173E+02
   0.476932E+01,   0.271172E+02
   0.478257E+01,   0.271172E+02
   0.479581E+01,   0.271171E+02
   0.480906E+01,   0.271170E+02
   0.482231E+01,   0.271170E+02
   0.483555E+01,   0.271169E+02
   0.484880E+01,   0.271169E+02
   0.486204E+01,   0.271168E+02
   0.487529E+01,   0.271167E+02
   0.488854E+01,   0.271166E+02
   0.490178E+01,   0.271166E+02
   0.491503E+01,   0.271165E+02
   0.492827E+01,   0.271164E+02
   0.494152E+01,   0.271164E+02
   0.495476E+01,   0.271163E+02
   0.496801E+01,   0.271162E+02
   0.498126E+01,   0.271161E+02
   0.499450E+01,   0.271160E+02
   0.500775E+01,   0.271159E+02
   0.502099E+01,   0.271159E+02
   0.503424E+01,   0.271158E+02
   0.504749E+01,   0.271157E+02
   0.506073E+01,   0.271156E+02
   0.507398E+01,   0.271155E+02
   0.508722E+01,   0.271154E+02
   0.510047E+01,   0.271152E+02
   0.511372E+01,   0.271151E+02
   0.512696E+01,   0.271150E+02
   0.514021E+01,   0.271149E+02
   0.515345E+01,   0.271147E+02
   0.516670E+01,   0.271146E+02
   0.517994E+01,   0.271144E+02
   0.519319E+01,   0.271143E+02
   0.520644E+01,   0.271141E+02
   0.521968E+01,   0.271139E+02
   0.523293E+01,   0.271136E+02
   0.524617E+01,   0.271136E+02
   0.525942E+01,   0.271139E+02
