x,y,sdr,tke
    0.9700840484E+00,    0.7597242754E-02,    0.5199041302E-06,    0.1108070725E-03
    0.9700840484E+00,    0.7832527535E-02,    0.5131317936E-06,    0.1072954507E-03
    0.9700840484E+00,    0.8075098997E-02,    0.5063423644E-06,    0.1035197358E-03
    0.9700840484E+00,    0.8325182805E-02,    0.4994212280E-06,    0.9945216656E-04
    0.9700840484E+00,    0.8583011616E-02,    0.4922311799E-06,    0.9506439744E-04
    0.9700840484E+00,    0.8848825290E-02,    0.4846129176E-06,    0.9033055201E-04
    0.9700840484E+00,    0.9122871116E-02,    0.4763920056E-06,    0.8523296065E-04
    0.9700840484E+00,    0.9405404043E-02,    0.4673993117E-06,    0.7977174905E-04
    0.9700840484E+00,    0.9696686912E-02,    0.4575148533E-06,    0.7397841448E-04
    0.9700840484E+00,    0.9996990708E-02,    0.4468018033E-06,    0.6793972848E-04
    0.9700840484E+00,    0.1030659481E-01,    0.4356121802E-06,    0.6180255685E-04
    0.9700840484E+00,    0.1062578724E-01,    0.4243925263E-06,    0.5570653169E-04
    0.9700840484E+00,    0.1095486494E-01,    0.4133979886E-06,    0.4968263690E-04
    0.9700840484E+00,    0.1129413407E-01,    0.4025704330E-06,    0.4363867086E-04
    0.9700840484E+00,    0.1164391025E-01,    0.3915575776E-06,    0.3746748203E-04
    0.9700840484E+00,    0.1200451888E-01,    0.3797791837E-06,    0.3113454352E-04
    0.9700840484E+00,    0.1237629543E-01,    0.3662716342E-06,    0.2466815969E-04
    0.9700840484E+00,    0.1275958577E-01,    0.3490785221E-06,    0.1816117466E-04
    0.9700840484E+00,    0.1315474649E-01,    0.3234669485E-06,    0.1185101153E-04
    0.9700840484E+00,    0.1356214521E-01,    0.2780822862E-06,    0.6308921724E-05
    0.9700840484E+00,    0.1398216092E-01,    0.2032639626E-06,    0.2434066178E-05
    0.9700840484E+00,    0.1441518438E-01,    0.1241220231E-06,    0.5975457866E-06
    0.9700840484E+00,    0.1486161844E-01,    0.8083923990E-07,    0.8628246518E-07
    0.9700840484E+00,    0.1532187841E-01,    0.7046373229E-07,    0.8441139493E-08
    0.9700840484E+00,    0.1579639248E-01,    0.6934079066E-07,    0.1103429721E-08
    0.9700840484E+00,    0.1628560209E-01,    0.6925333532E-07,    0.5392275568E-09
    0.9700840484E+00,    0.1678996237E-01,    0.6924708270E-07,    0.4985411914E-09
    0.9700840484E+00,    0.1730994252E-01,    0.6924669429E-07,    0.4957338378E-09
    0.9700840484E+00,    0.1784602628E-01,    0.6924671190E-07,    0.4955484730E-09
    0.9700840484E+00,    0.1839871239E-01,    0.6924675784E-07,    0.4955370701E-09
    0.9700840484E+00,    0.1896851501E-01,    0.6924680708E-07,    0.4955367422E-09
    0.9700840484E+00,    0.1955596422E-01,    0.6924685803E-07,    0.4955371003E-09
    0.9700840484E+00,    0.2016160655E-01,    0.6924691061E-07,    0.4955375096E-09
    0.9700840484E+00,    0.2078600543E-01,    0.6924696484E-07,    0.4955379332E-09
