# u+ vs. y+ at Re-theta = 10000, from Coles velocity law
# along with van Driest damping near wall
# (see Bardina et al, NASA TM 110446, April 1997)
yp,up
0.1520062104971864E+02,   0.1034767183940156E+02
0.1530062513557206E+02,   0.1037676974928071E+02
0.1540062922142547E+02,   0.1040559715259075E+02
0.1550063330727888E+02,   0.1043415796165341E+02
0.1560063739313229E+02,   0.1046245601951006E+02
0.1570064147898570E+02,   0.1049049510119728E+02
0.1580064556483912E+02,   0.1051827891500653E+02
0.1590064965069253E+02,   0.1054581110372683E+02
0.1600065373654594E+02,   0.1057309524587082E+02
0.1610065782239935E+02,   0.1060013485688374E+02
0.1620066190825277E+02,   0.1062693339033155E+02
0.1630066599410618E+02,   0.1065349423907591E+02
0.1640067007995959E+02,   0.1067982073642778E+02
0.1650067416581300E+02,   0.1070591615728324E+02
0.1660067825166641E+02,   0.1073178371924087E+02
0.1670068233751983E+02,   0.1075742658370067E+02
0.1680068642337324E+02,   0.1078284785694415E+02
0.1690069050922665E+02,   0.1080805059119590E+02
0.1700069459508006E+02,   0.1083303778566686E+02
0.1710069868093347E+02,   0.1085781238757859E+02
0.1720070276678689E+02,   0.1088237729316945E+02
0.1730070685264030E+02,   0.1090673534868239E+02
0.1740071093849371E+02,   0.1093088935133449E+02
0.1750071502434712E+02,   0.1095484205026858E+02
0.1760071911020053E+02,   0.1097859614748372E+02
0.1770072319605395E+02,   0.1100215429875553E+02
0.1780072728190736E+02,   0.1102551911454007E+02
0.1790073136776077E+02,   0.1104869316084295E+02
0.1800073545361418E+02,   0.1107167896008875E+02
0.1810073953946759E+02,   0.1109447899196798E+02
0.1820074362532101E+02,   0.1111709569426732E+02
0.1830074771117442E+02,   0.1113953146368392E+02
0.1840075179702783E+02,   0.1116178865662316E+02
0.1850075588288124E+02,   0.1118386958998057E+02
0.1860075996873465E+02,   0.1120577654190815E+02
0.1870076405458807E+02,   0.1122751175256481E+02
0.1880076814044148E+02,   0.1124907742485249E+02
0.1890077222629489E+02,   0.1127047572513659E+02
0.1900077631214830E+02,   0.1129170878395190E+02
0.1910078039800172E+02,   0.1131277869669438E+02
0.1920078448385513E+02,   0.1133368752429840E+02
0.1930078856970854E+02,   0.1135443729390052E+02
0.1940079265556195E+02,   0.1137502999948912E+02
0.1950079674141536E+02,   0.1139546760254122E+02
0.1960080082726878E+02,   0.1141575203264558E+02
0.1970080491312219E+02,   0.1143588518811316E+02
0.1980080899897560E+02,   0.1145586893657524E+02
0.1990081308482901E+02,   0.1147570511556863E+02
0.2000081717068242E+02,   0.1149539553310898E+02
0.2010082125653584E+02,   0.1151494196825067E+02
0.2020082534238925E+02,   0.1153434617163750E+02
0.2030082942824266E+02,   0.1155360986604780E+02
0.2040083351409607E+02,   0.1157273474691139E+02
0.2050083759994948E+02,   0.1159172248282968E+02
0.2060084168580290E+02,   0.1161057471608095E+02
0.2070084577165631E+02,   0.1162929306311541E+02
0.2080084985750972E+02,   0.1164787911503962E+02
0.2090085394336313E+02,   0.1166633443809112E+02
0.2100085802921654E+02,   0.1168466057410301E+02
0.2110086211506996E+02,   0.1170285904095878E+02
0.2120086620092337E+02,   0.1172093133303811E+02
0.2130087028677678E+02,   0.1173887892165268E+02
0.2140087437263020E+02,   0.1175670325547375E+02
0.2150087845848361E+02,   0.1177440576095032E+02
0.2160088254433702E+02,   0.1179198784271881E+02
0.2170088663019043E+02,   0.1180945088400425E+02
0.2180089071604384E+02,   0.1182679624701305E+02
0.2190089480189726E+02,   0.1184402527331781E+02
0.2200089888775067E+02,   0.1186113928423401E+02
0.2210090297360408E+02,   0.1187813958118936E+02
0.2220090705945749E+02,   0.1189502744608471E+02
0.2230091114531090E+02,   0.1191180414164836E+02
0.2240091523116432E+02,   0.1192847091178278E+02
0.2250091931701773E+02,   0.1194502898190396E+02
0.2260092340287114E+02,   0.1196147955927338E+02
0.2270092748872455E+02,   0.1197782383332296E+02
0.2280093157457797E+02,   0.1199406297598174E+02
0.2290093566043138E+02,   0.1201019814197919E+02
0.2300093974628479E+02,   0.1202623046915499E+02
0.2310094383213820E+02,   0.1204216107875885E+02
0.2320094791799161E+02,   0.1205799107574459E+02
0.2330095200384503E+02,   0.1207372154905823E+02
0.2340095608969844E+02,   0.1208935357191986E+02
0.2350096017555185E+02,   0.1210488820210036E+02
0.2360096426140526E+02,   0.1212032648219213E+02
0.2370096834725867E+02,   0.1213566943987443E+02
0.2380097243311209E+02,   0.1215091808817365E+02
0.2390097651896550E+02,   0.1216607342571810E+02
0.2400098060481891E+02,   0.1218113643698759E+02
0.2410098469067232E+02,   0.1219610809255853E+02
0.2420098877652573E+02,   0.1221098934934354E+02
0.2430099286237915E+02,   0.1222578115082673E+02
0.2440099694823256E+02,   0.1224048442729408E+02
0.2450100103408597E+02,   0.1225510009605922E+02
0.2460100511993938E+02,   0.1226962906168500E+02
0.2470100920579279E+02,   0.1228407221620044E+02
0.2480101329164621E+02,   0.1229843043931339E+02
0.2490101737749962E+02,   0.1231270459861935E+02
0.2500102146335303E+02,   0.1232689554980568E+02
0.2510102554920644E+02,   0.1234100413685187E+02
0.2520102963505985E+02,   0.1235503119222438E+02
0.2530103372091327E+02,   0.1236897753707667E+02
0.2540103780676668E+02,   0.1238284398143008E+02
0.2550104189262009E+02,   0.1239663132436201E+02
0.2560104597847350E+02,   0.1241034035418757E+02
0.2570105006432692E+02,   0.1242397184863784E+02
0.2580105415018033E+02,   0.1243752657503473E+02
0.2590105823603374E+02,   0.1245100529046226E+02
0.2600106232188715E+02,   0.1246440874193464E+02
0.2610106640774056E+02,   0.1247773766656142E+02
0.2620107049359398E+02,   0.1249099279170901E+02
0.2630107457944739E+02,   0.1250417483515950E+02
0.2640107866530080E+02,   0.1251728450526625E+02
0.2650108275115421E+02,   0.1253032250110655E+02
0.2660108683700762E+02,   0.1254328951263158E+02
0.2670109092286104E+02,   0.1255618622081323E+02
0.2680109500871445E+02,   0.1256901329778840E+02
0.2690109909456786E+02,   0.1258177140700046E+02
0.2700110318042127E+02,   0.1259446120333830E+02
0.2710110726627468E+02,   0.1260708333327221E+02
0.2720111135212810E+02,   0.1261963843498797E+02
0.2730111543798151E+02,   0.1263212713851780E+02
0.2740111952383492E+02,   0.1264455006586931E+02
0.2750112360968834E+02,   0.1265690783115185E+02
0.2760112769554175E+02,   0.1266920104070056E+02
0.2770113178139516E+02,   0.1268143029319569E+02
0.2780113586724857E+02,   0.1269359617978969E+02
0.2790113995310198E+02,   0.1270569928421685E+02
0.2800114403895540E+02,   0.1271774018291118E+02
0.2810114812480881E+02,   0.1272971944511949E+02
0.2820115221066222E+02,   0.1274163763301230E+02
0.2830115629651563E+02,   0.1275349530179301E+02
0.2840116038236904E+02,   0.1276529299980491E+02
0.2850116446822246E+02,   0.1277703126863616E+02
0.2860116855407587E+02,   0.1278871064322319E+02
0.2870117263992928E+02,   0.1280033165195193E+02
0.2880117672578269E+02,   0.1281189481675734E+02
0.2890118081163610E+02,   0.1282340065322127E+02
0.2900118489748952E+02,   0.1283484967066830E+02
0.2910118898334293E+02,   0.1284624237226023E+02
0.2920119306919634E+02,   0.1285757925508857E+02
0.2930119715504975E+02,   0.1286886081026560E+02
0.2940120124090317E+02,   0.1288008752301364E+02
0.2950120532675658E+02,   0.1289125987275287E+02
0.2960120941260999E+02,   0.1290237833318769E+02
0.2970121349846340E+02,   0.1291344337239136E+02
0.2980121758431681E+02,   0.1292445545288925E+02
0.2990122167017023E+02,   0.1293541503174060E+02
0.3000122575602364E+02,   0.1294632256061910E+02
0.3010122984187705E+02,   0.1295717848589154E+02
0.3020123392773046E+02,   0.1296798324869387E+02
0.3030123801358387E+02,   0.1297873728501270E+02
0.3040124209943729E+02,   0.1298944102575518E+02
0.3050124618529070E+02,   0.1300009489682403E+02
0.3060125027114411E+02,   0.1301069931919020E+02
0.3070125435699752E+02,   0.1302125470896391E+02
0.3080125844285093E+02,   0.1303176147746453E+02
0.3090126252870435E+02,   0.1304222003128952E+02
0.3100126661455776E+02,   0.1305263077238190E+02
0.3110127070041117E+02,   0.1306299409809669E+02
0.3120127478626458E+02,   0.1307331040126620E+02
0.3130127887211799E+02,   0.1308358007026429E+02
0.3140128295797141E+02,   0.1309380348906944E+02
0.3150128704382482E+02,   0.1310398103732684E+02
0.3160129112967823E+02,   0.1311411309040952E+02
0.3170129521553164E+02,   0.1312420001947818E+02
0.3180129930138505E+02,   0.1313424219154034E+02
0.3190130338723847E+02,   0.1314423996950836E+02
0.3200130747309188E+02,   0.1315419371225623E+02
0.3210131155894529E+02,   0.1316410377467553E+02
0.3220131564479870E+02,   0.1317397050773223E+02
0.3230131973065212E+02,   0.1318379425851915E+02
0.3240132381650553E+02,   0.1319357537030994E+02
0.3250132790235894E+02,   0.1320331418261165E+02
0.3260133198821235E+02,   0.1321301103121641E+02
0.3270133607406576E+02,   0.1322266624825076E+02
0.3280134015991918E+02,   0.1323228016222978E+02
0.3290134424577259E+02,   0.1324185309810262E+02
0.3300134833162600E+02,   0.1325138537730155E+02
0.3310135241747941E+02,   0.1326087731779007E+02
0.3320135650333282E+02,   0.1327032923410940E+02
0.3330136058918624E+02,   0.1327974143742484E+02
0.3340136467503965E+02,   0.1328911423557099E+02
0.3350136876089306E+02,   0.1329844793309643E+02
0.3360137284674647E+02,   0.1330774283130758E+02
0.3370137693259989E+02,   0.1331699922831196E+02
0.3380138101845330E+02,   0.1332621741906072E+02
0.3390138510430671E+02,   0.1333539769539056E+02
0.3400138919016013E+02,   0.1334454034606470E+02
0.3410139327601353E+02,   0.1335364565681368E+02
0.3420139736186695E+02,   0.1336271391037510E+02
0.3430140144772036E+02,   0.1337174538653308E+02
0.3440140553357377E+02,   0.1338074036215669E+02
0.3450140961942719E+02,   0.1338969911123832E+02
0.3460141370528059E+02,   0.1339862190493081E+02
0.3470141779113401E+02,   0.1340750901158463E+02
0.3480142187698742E+02,   0.1341636069678405E+02
0.3490142596284083E+02,   0.1342517722338292E+02
0.3500143004869425E+02,   0.1343395885153991E+02
0.3510143413454765E+02,   0.1344270583875321E+02
0.3520143822040107E+02,   0.1345141843989351E+02
0.3530144230625448E+02,   0.1346009690724052E+02
0.3540144639210789E+02,   0.1346874149051385E+02
0.3550145047796131E+02,   0.1347735243690578E+02
0.3560145456381472E+02,   0.1348592999111358E+02
0.3570145864966813E+02,   0.1349447439537102E+02
0.3580146273552154E+02,   0.1350298588947981E+02
0.3590146682137495E+02,   0.1351146471084004E+02
0.3600147090722837E+02,   0.1351991109448034E+02
0.3610147499308178E+02,   0.1352832527308782E+02
0.3620147907893519E+02,   0.1353670747703733E+02
0.3630148316478860E+02,   0.1354505793442016E+02
0.3640148725064201E+02,   0.1355337687107266E+02
0.3650149133649543E+02,   0.1356166451060413E+02
0.3660149542234884E+02,   0.1356992107442465E+02
0.3670149950820225E+02,   0.1357814678177188E+02
0.3680150359405566E+02,   0.1358634184973817E+02
0.3690150767990907E+02,   0.1359450649329686E+02
0.3700151176576249E+02,   0.1360264092532823E+02
0.3710151585161590E+02,   0.1361074535664523E+02
0.3720151993746931E+02,   0.1361881999601852E+02
0.3730152402332272E+02,   0.1362686505020164E+02
0.3740152810917613E+02,   0.1363488072395527E+02
0.3750153219502955E+02,   0.1364286722007157E+02
0.3760153628088296E+02,   0.1365082473939794E+02
0.3770154036673637E+02,   0.1365875348085958E+02
0.3780154445258978E+02,   0.1366665364148483E+02
0.3790154853844319E+02,   0.1367452541642646E+02
0.3800155262429661E+02,   0.1368236899898402E+02
0.3810155671015002E+02,   0.1369018458062623E+02
0.3820156079600343E+02,   0.1369797235101296E+02
0.3830156488185684E+02,   0.1370573249801651E+02
0.3840156896771025E+02,   0.1371346520774301E+02
0.3850157305356367E+02,   0.1372117066455327E+02
0.3860157713941708E+02,   0.1372884905108346E+02
0.3870158122527049E+02,   0.1373650054826523E+02
0.3880158531112390E+02,   0.1374412533534596E+02
0.3890158939697731E+02,   0.1375172358990836E+02
0.3900159348283073E+02,   0.1375929548789016E+02
0.3910159756868414E+02,   0.1376684120360309E+02
0.3920160165453755E+02,   0.1377436090975191E+02
0.3930160574039096E+02,   0.1378185477745293E+02
0.3940160982624437E+02,   0.1378932297625274E+02
0.3950161391209779E+02,   0.1379676567414608E+02
0.3960161799795120E+02,   0.1380418303759390E+02
0.3970162208380462E+02,   0.1381157523154086E+02
0.3980162616965803E+02,   0.1381894241943295E+02
0.3990163025551144E+02,   0.1382628476323440E+02
0.4000163434136485E+02,   0.1383360242344486E+02
0.4010163842721826E+02,   0.1384089555911602E+02
0.4020164251307168E+02,   0.1384816432786745E+02
0.4030164659892509E+02,   0.1385540888590431E+02
0.4040165068477850E+02,   0.1386262938803262E+02
0.4050165477063191E+02,   0.1386982598767474E+02
0.4060165885648532E+02,   0.1387699883688519E+02
0.4070166294233874E+02,   0.1388414808636603E+02
0.4080166702819215E+02,   0.1389127388548204E+02
0.4090167111404556E+02,   0.1389837638227580E+02
0.4100167519989897E+02,   0.1390545572348244E+02
0.4110167928575238E+02,   0.1391251205454405E+02
0.4120168337160580E+02,   0.1391954551962430E+02
0.4130168745745921E+02,   0.1392655626162247E+02
0.4140169154331262E+02,   0.1393354442218745E+02
0.4150169562916603E+02,   0.1394051014173164E+02
0.4160169971501944E+02,   0.1394745355944462E+02
0.4170170380087286E+02,   0.1395437481330637E+02
0.4180170788672627E+02,   0.1396127404010077E+02
0.4190171197257968E+02,   0.1396815137542857E+02
0.4200171605843309E+02,   0.1397500695372049E+02
0.4210172014428650E+02,   0.1398184090824975E+02
0.4220172423013992E+02,   0.1398865337114477E+02
0.4230172831599333E+02,   0.1399544447340153E+02
0.4240173240184674E+02,   0.1400221434489595E+02
0.4250173648770015E+02,   0.1400896311439605E+02
0.4260174057355356E+02,   0.1401569090957362E+02
0.4270174465940698E+02,   0.1402239785701572E+02
0.4280174874526039E+02,   0.1402908408223743E+02
0.4290175283111380E+02,   0.1403574970969282E+02
0.4300175691696721E+02,   0.1404239486278592E+02
0.4310176100282062E+02,   0.1404901966388201E+02
0.4320176508867404E+02,   0.1405562423431903E+02
0.4330176917452745E+02,   0.1406220869441800E+02
