x,y,sdr,tke
 9.701266289E-01, 5.430477904E-04, 4.997383712E-06, 1.718604180E-04
 9.701266289E-01, 5.598733551E-04, 4.836331300E-06, 1.719707361E-04
 9.701266289E-01, 5.772197619E-04, 4.680890925E-06, 1.720707223E-04
 9.701266289E-01, 5.951031926E-04, 4.530852038E-06, 1.721604931E-04
 9.701266289E-01, 6.135402364E-04, 4.386012279E-06, 1.722401357E-04
 9.701266289E-01, 6.325480645E-04, 4.246178378E-06, 1.723097375E-04
 9.701266289E-01, 6.521443138E-04, 4.111164799E-06, 1.723693567E-04
 9.701266289E-01, 6.723473198E-04, 3.980794190E-06, 1.724190661E-04
 9.701266289E-01, 6.931758253E-04, 3.854894658E-06, 1.724588656E-04
 9.701266289E-01, 7.146491553E-04, 3.733303629E-06, 1.724888280E-04
 9.701266289E-01, 7.367873332E-04, 3.615863534E-06, 1.725089387E-04
 9.701266289E-01, 7.596109645E-04, 3.502423624E-06, 1.725191833E-04
 9.701266289E-01, 7.831412950E-04, 3.392839290E-06, 1.725195616E-04
 9.701266289E-01, 8.074001526E-04, 3.286972060E-06, 1.725100446E-04
 9.701266289E-01, 8.324101800E-04, 3.184688012E-06, 1.724905887E-04
 9.701266289E-01, 8.581946022E-04, 3.085859362E-06, 1.724611211E-04
 9.701266289E-01, 8.847774006E-04, 2.990363100E-06, 1.724215836E-04
 9.701266289E-01, 9.121833136E-04, 2.898080993E-06, 1.723718888E-04
 9.701266289E-01, 9.404378361E-04, 2.808899580E-06, 1.723119494E-04
 9.701266289E-01, 9.695672779E-04, 2.722709951E-06, 1.722416346E-04
 9.701266289E-01, 9.995986475E-04, 2.639407285E-06, 1.721608132E-04
 9.701266289E-01, 1.030560001E-03, 2.558890401E-06, 1.720693399E-04
 9.701266289E-01, 1.062480151E-03, 2.481062893E-06, 1.719670981E-04
 9.701266289E-01, 1.095388667E-03, 2.405831310E-06, 1.718538551E-04
 9.701266289E-01, 1.129316282E-03, 2.333106067E-06, 1.717294799E-04
 9.701266289E-01, 1.164294430E-03, 2.262801445E-06, 1.715937105E-04
 9.701266289E-01, 1.200355822E-03, 2.194833996E-06, 1.714463724E-04
 9.701266289E-01, 1.237533870E-03, 2.129124596E-06, 1.712872181E-04
 9.701266289E-01, 1.275863266E-03, 2.065596163E-06, 1.711159712E-04
 9.701266289E-01, 1.315379515E-03, 2.004175030E-06, 1.709323842E-04
 9.701266289E-01, 1.356119523E-03, 1.944790483E-06, 1.707361662E-04
 9.701266289E-01, 1.398121123E-03, 1.887373514E-06, 1.705270115E-04
 9.701266289E-01, 1.441423432E-03, 1.831859095E-06, 1.703045709E-04
 9.701266289E-01, 1.486066729E-03, 1.778183560E-06, 1.700685098E-04
 9.701266289E-01, 1.532092574E-03, 1.726286200E-06, 1.698184642E-04
 9.701266289E-01, 1.579543576E-03, 1.676108127E-06, 1.695540268E-04
 9.701266289E-01, 1.628464204E-03, 1.627593292E-06, 1.692748046E-04
 9.701266289E-01, 1.678899745E-03, 1.580686899E-06, 1.689803612E-04
 9.701266289E-01, 1.730897231E-03, 1.535336878E-06, 1.686702162E-04
 9.701266289E-01, 1.784504857E-03, 1.491492981E-06, 1.683439041E-04
 9.701266289E-01, 1.839772798E-03, 1.449106549E-06, 1.680009154E-04
 9.701266289E-01, 1.896752161E-03, 1.408131084E-06, 1.676406828E-04
 9.701266289E-01, 1.955496147E-03, 1.368521453E-06, 1.672626677E-04
 9.701266289E-01, 2.016059356E-03, 1.330234682E-06, 1.668662590E-04
 9.701266289E-01, 2.078498015E-03, 1.293228934E-06, 1.664508309E-04
 9.701266289E-01, 2.142870566E-03, 1.257464419E-06, 1.660157141E-04
 9.701266289E-01, 2.209236380E-03, 1.222902483E-06, 1.655602100E-04
 9.701266289E-01, 2.277657622E-03, 1.189506179E-06, 1.650835766E-04
 9.701266289E-01, 2.348197857E-03, 1.157239808E-06, 1.645850425E-04
 9.701266289E-01, 2.420922508E-03, 1.126069151E-06, 1.640638075E-04
 9.701266289E-01, 2.495899564E-03, 1.095961466E-06, 1.635189692E-04
 9.701266289E-01, 2.573198406E-03, 1.066884806E-06, 1.629496692E-04
 9.701266289E-01, 2.652890980E-03, 1.038809160E-06, 1.623549324E-04
 9.701266289E-01, 2.735051792E-03, 1.011705308E-06, 1.617337257E-04
 9.701266289E-01, 2.819756977E-03, 9.855452845E-07, 1.610850595E-04
 9.701266289E-01, 2.907085465E-03, 9.603023727E-07, 1.604077406E-04
 9.701266289E-01, 2.997118514E-03, 9.359509363E-07, 1.597006340E-04
 9.701266289E-01, 3.089939710E-03, 9.124665326E-07, 1.589624881E-04
 9.701266289E-01, 3.185635433E-03, 8.898257420E-07, 1.581919933E-04
 9.701266289E-01, 3.284294857E-03, 8.680062820E-07, 1.573877526E-04
 9.701266289E-01, 3.386009717E-03, 8.469869499E-07, 1.565483399E-04
 9.701266289E-01, 3.490874544E-03, 8.267475096E-07, 1.556721691E-04
 9.701266289E-01, 3.598987125E-03, 8.072689184E-07, 1.547576248E-04
 9.701266289E-01, 3.710447578E-03, 7.885332138E-07, 1.538030192E-04
 9.701266289E-01, 3.825360211E-03, 7.705232861E-07, 1.528065332E-04
 9.701266289E-01, 3.943831660E-03, 7.532232758E-07, 1.517662022E-04
 9.701266289E-01, 4.065971822E-03, 7.366184605E-07, 1.506800618E-04
 9.701266289E-01, 4.191894550E-03, 7.206950841E-07, 1.495459437E-04
 9.701266289E-01, 4.321717191E-03, 7.054405842E-07, 1.483616070E-04
 9.701266289E-01, 4.455560353E-03, 6.908436490E-07, 1.471246942E-04
 9.701266289E-01, 4.593548831E-03, 6.768942171E-07, 1.458326733E-04
 9.701266289E-01, 4.735810217E-03, 6.635834779E-07, 1.444829395E-04
 9.701266289E-01, 4.882477690E-03, 6.509026207E-07, 1.430725097E-04
 9.701266289E-01, 5.033687688E-03, 6.388268616E-07, 1.415958104E-04
 9.701266289E-01, 5.189579912E-03, 6.273186841E-07, 1.400452020E-04
 9.701266289E-01, 5.350300577E-03, 6.163444368E-07, 1.384125790E-04
 9.701266289E-01, 5.515998229E-03, 6.058747886E-07, 1.366897486E-04
 9.701266289E-01, 5.686827935E-03, 5.958835914E-07, 1.348684746E-04
 9.701266289E-01, 5.862948019E-03, 5.863468004E-07, 1.329404768E-04
 9.701266289E-01, 6.044522393E-03, 5.772414511E-07, 1.308973879E-04
 9.701266289E-01, 6.231720094E-03, 5.685444648E-07, 1.287304040E-04
 9.701266289E-01, 6.424714811E-03, 5.602315127E-07, 1.264300372E-04
 9.701266289E-01, 6.623687223E-03, 5.522757647E-07, 1.239858102E-04
 9.701266289E-01, 6.828821264E-03, 5.446460705E-07, 1.213857249E-04
 9.701266289E-01, 7.040308323E-03, 5.373052545E-07, 1.186159570E-04
 9.701266289E-01, 7.258344907E-03, 5.302080694E-07, 1.156603757E-04
 9.701266289E-01, 7.483134046E-03, 5.232989793E-07, 1.125002309E-04
 9.701266289E-01, 7.714885287E-03, 5.165092603E-07, 1.091139129E-04
 9.701266289E-01, 7.953813300E-03, 5.097543294E-07, 1.054769891E-04
 9.701266289E-01, 8.200140670E-03, 5.029304475E-07, 1.015624875E-04
 9.701266289E-01, 8.454097435E-03, 4.959120474E-07, 9.734185005E-05
 9.701266289E-01, 8.715918288E-03, 4.885503699E-07, 9.278694779E-05
 9.701266289E-01, 8.985848166E-03, 4.806755101E-07, 8.787415572E-05
 9.701266289E-01, 9.264137596E-03, 4.721084963E-07, 8.259176684E-05
